landmarks,label
"[ 7.52438128e-01  7.35804260e-01 -4.88004943e-08  6.78271830e-01
  6.72001123e-01 -5.74384630e-03  6.34850740e-01  5.75553060e-01
 -1.13775739e-02  6.12333894e-01  5.01070023e-01 -2.20817737e-02
  6.01805091e-01  4.27017480e-01 -3.30756418e-02  7.26304054e-01
  4.81968164e-01  2.65538897e-02  7.19318092e-01  3.76148462e-01
  2.52318680e-02  7.17814624e-01  3.13256502e-01  1.81432534e-02
  7.18781948e-01  2.55351186e-01  7.81997386e-03  7.69906938e-01
  4.79765326e-01  1.22794835e-02  7.45295048e-01  4.03916180e-01
 -1.52138919e-02  7.11402476e-01  4.15136337e-01 -3.61391269e-02
  6.87696934e-01  4.40689266e-01 -4.31554615e-02  8.12686861e-01
  4.87225682e-01 -6.11182209e-03  8.24350953e-01  3.75638664e-01
 -2.51543857e-02  8.20020378e-01  2.96607673e-01 -4.37513553e-02
  8.17290485e-01  2.32676774e-01 -5.60142361e-02  8.54826748e-01
  5.11008859e-01 -2.50819735e-02  8.97090912e-01  4.37703192e-01
 -3.75581905e-02  9.19101596e-01  3.80269319e-01 -4.76171859e-02
  9.37810898e-01  3.24742675e-01 -5.57838082e-02]",ghe ghalun
"[ 7.51654685e-01  7.36493528e-01 -3.13808890e-08  6.77235007e-01
  6.69276118e-01 -2.49769562e-03  6.34019017e-01  5.71102619e-01
 -9.43173748e-03  6.08785272e-01  4.97593045e-01 -2.28057504e-02
  5.99004269e-01  4.25595224e-01 -3.69182266e-02  7.28172123e-01
  4.77991253e-01  3.02772075e-02  7.20913470e-01  3.70842993e-01
  2.79956888e-02  7.19837070e-01  3.07540029e-01  1.93087272e-02
  7.19313979e-01  2.52452701e-01  8.09410308e-03  7.71555603e-01
  4.76811141e-01  1.39419045e-02  7.46625364e-01  3.98383200e-01
 -1.42092248e-02  7.11995959e-01  4.09498870e-01 -3.54695730e-02
  6.85925841e-01  4.34548140e-01 -4.24688421e-02  8.14163029e-01
  4.84116644e-01 -6.38668612e-03  8.26779425e-01  3.71500134e-01
 -2.35916879e-02  8.25399280e-01  2.94866204e-01 -3.91603485e-02
  8.23419511e-01  2.33522981e-01 -4.95309718e-02  8.55120182e-01
  5.09524882e-01 -2.73975711e-02  8.97492886e-01  4.37002838e-01
 -3.80773470e-02  9.19413567e-01  3.80192041e-01 -4.58377562e-02
  9.37334895e-01  3.25172782e-01 -5.23202755e-02]",ghe ghalun
"[ 7.53681660e-01  7.39056647e-01 -4.60355984e-08  6.77422643e-01
  6.71470404e-01 -1.66777126e-03  6.34382010e-01  5.72274148e-01
 -7.41815567e-03  6.08978450e-01  4.97353315e-01 -1.99156236e-02
  5.99066138e-01  4.23119932e-01 -3.32552008e-02  7.27345645e-01
  4.76714671e-01  3.34477462e-02  7.19648480e-01  3.69799286e-01
  3.15655097e-02  7.18710959e-01  3.06058913e-01  2.29828227e-02
  7.19793379e-01  2.49249965e-01  1.18768867e-02  7.70747125e-01
  4.75373566e-01  1.67909954e-02  7.46830285e-01  3.96747738e-01
 -9.32136178e-03  7.12936938e-01  4.06768322e-01 -2.97303163e-02
  6.87517166e-01  4.31859195e-01 -3.63301225e-02  8.13553870e-01
  4.83050585e-01 -4.10967134e-03  8.26065838e-01  3.70410621e-01
 -2.01342870e-02  8.24927270e-01  2.94248819e-01 -3.51134166e-02
  8.23552549e-01  2.33727276e-01 -4.50960286e-02  8.54678631e-01
  5.08728385e-01 -2.58034710e-02  8.97014558e-01  4.35747862e-01
 -3.62484716e-02  9.19565558e-01  3.78981084e-01 -4.39496413e-02
  9.38600719e-01  3.24353039e-01 -5.02287000e-02]",ghe ghalun
"[ 7.52771676e-01  7.39634931e-01 -6.30757739e-08  6.77903593e-01
  6.72405660e-01 -2.84339092e-03  6.34788394e-01  5.72381854e-01
 -8.70466605e-03  6.09765470e-01  4.96858329e-01 -2.06861198e-02
  6.00452065e-01  4.23542321e-01 -3.33017334e-02  7.27603853e-01
  4.77626503e-01  2.98343506e-02  7.20686793e-01  3.70989293e-01
  2.71647479e-02  7.18989313e-01  3.07413399e-01  1.83901880e-02
  7.19068170e-01  2.50096262e-01  7.01897452e-03  7.70571649e-01
  4.76092339e-01  1.36602307e-02  7.46886194e-01  3.97138149e-01
 -1.40950354e-02  7.12179184e-01  4.07323420e-01 -3.52814123e-02
  6.86067104e-01  4.32447016e-01 -4.24856283e-02  8.12990427e-01
  4.84079719e-01 -6.64829602e-03  8.26294303e-01  3.71922255e-01
 -2.50714123e-02  8.25179100e-01  2.95246720e-01 -4.21163701e-02
  8.23993266e-01  2.34180629e-01 -5.33217490e-02  8.53853405e-01
  5.09520233e-01 -2.75178030e-02  8.96783471e-01  4.35965478e-01
 -3.99158373e-02  9.19486940e-01  3.79136413e-01 -4.91845198e-02
  9.38577414e-01  3.24604511e-01 -5.66250980e-02]",ghe ghalun
"[ 7.56676614e-01  7.31294394e-01  9.65551994e-09  6.77188039e-01
  6.66350007e-01 -6.76900707e-03  6.34737849e-01  5.70858359e-01
 -1.13478284e-02  6.13749683e-01  4.92508292e-01 -2.12485380e-02
  6.04271531e-01  4.15511012e-01 -3.17281485e-02  7.24029243e-01
  4.74614620e-01  3.61683518e-02  7.19062388e-01  3.69601369e-01
  3.85153070e-02  7.19168723e-01  3.07279468e-01  3.18526290e-02
  7.21029282e-01  2.48592019e-01  2.10777204e-02  7.69166529e-01
  4.74350095e-01  2.29569953e-02  7.48650014e-01  4.01338696e-01
  1.14499380e-04  7.18905687e-01  4.11545157e-01 -2.15421095e-02
  6.97941482e-01  4.33310777e-01 -3.01082358e-02  8.11984420e-01
  4.82058316e-01  4.88724047e-03  8.22467864e-01  3.73828918e-01
 -1.04110315e-02  8.21866333e-01  2.93632567e-01 -2.99613066e-02
  8.23014259e-01  2.25768238e-01 -4.40138504e-02  8.54829729e-01
  5.06105363e-01 -1.42166093e-02  8.96247566e-01  4.36228007e-01
 -2.40470152e-02  9.19541538e-01  3.81046414e-01 -3.39618474e-02
  9.40266132e-01  3.26458275e-01 -4.28842008e-02]",ghe ghalun
"[ 7.60686398e-01  7.34621465e-01  1.51016355e-08  6.79818571e-01
  6.71978712e-01 -1.13539118e-02  6.36850238e-01  5.70145965e-01
 -1.79864969e-02  6.16448402e-01  4.90146965e-01 -2.80369408e-02
  6.03849828e-01  4.15623188e-01 -3.79255414e-02  7.17919409e-01
  4.69215214e-01  2.26495154e-02  7.15482116e-01  3.64984810e-01
  2.00926531e-02  7.16213048e-01  3.05545807e-01  1.25790704e-02
  7.19128728e-01  2.49075681e-01  2.08769483e-03  7.65665770e-01
  4.70752925e-01  1.12662995e-02  7.53604770e-01  4.00479466e-01
 -1.64199285e-02  7.31954873e-01  4.15268481e-01 -3.66385467e-02
  7.16147304e-01  4.36997116e-01 -4.31862026e-02  8.10728490e-01
  4.81972188e-01 -5.00156218e-03  8.23710561e-01  3.76167119e-01
 -2.62219682e-02  8.26131761e-01  2.97320306e-01 -4.51348163e-02
  8.29044461e-01  2.25326896e-01 -5.74506670e-02  8.55294228e-01
  5.08846283e-01 -2.20811740e-02  8.96182179e-01  4.38816428e-01
 -3.69079001e-02  9.18458879e-01  3.85341585e-01 -4.70597111e-02
  9.37259555e-01  3.29022706e-01 -5.52605055e-02]",ghe ghalun
"[ 7.62163222e-01  7.31037378e-01  6.21481178e-08  6.80164278e-01
  6.69542313e-01 -1.03867603e-02  6.35419428e-01  5.67586184e-01
 -1.64302345e-02  6.13944530e-01  4.87245232e-01 -2.58619133e-02
  6.03465319e-01  4.12754387e-01 -3.50614823e-02  7.17265368e-01
  4.67906743e-01  2.46460214e-02  7.15192676e-01  3.64279389e-01
  2.40286943e-02  7.15695739e-01  3.04552495e-01  1.72180161e-02
  7.17503548e-01  2.48584956e-01  6.82916213e-03  7.65293419e-01
  4.69014406e-01  1.32832406e-02  7.54460454e-01  3.97199780e-01
 -1.23940306e-02  7.33584046e-01  4.10631955e-01 -3.25469375e-02
  7.18243062e-01  4.32884306e-01 -3.96432579e-02  8.10131669e-01
  4.80455995e-01 -2.73629348e-03  8.23828697e-01  3.72679740e-01
 -2.21437626e-02  8.24686408e-01  2.93109119e-01 -4.09790538e-02
  8.26185703e-01  2.21751809e-01 -5.39347678e-02  8.54278684e-01
  5.08336723e-01 -1.94676444e-02  8.96320105e-01  4.38379198e-01
 -3.29441950e-02  9.18312252e-01  3.84964943e-01 -4.29722555e-02
  9.36866760e-01  3.29522192e-01 -5.16176559e-02]",ghe ghalun
"[ 7.61028051e-01  7.30890751e-01  2.75005458e-08  6.80487692e-01
  6.70545697e-01 -1.29583031e-02  6.36027813e-01  5.67711890e-01
 -1.91682056e-02  6.15188241e-01  4.86397654e-01 -2.76360903e-02
  6.04316473e-01  4.13012981e-01 -3.57052498e-02  7.16536760e-01
  4.66224819e-01  1.57929342e-02  7.13844419e-01  3.62044215e-01
  1.19038569e-02  7.14992464e-01  3.03293258e-01  4.25035134e-03
  7.18263030e-01  2.47262657e-01 -6.21938473e-03  7.64569402e-01
  4.67233002e-01  5.93911391e-03  7.56655216e-01  3.97975355e-01
 -2.05348339e-02  7.36550093e-01  4.08487111e-01 -3.93878892e-02
  7.20504344e-01  4.26434666e-01 -4.64718118e-02  8.09953928e-01
  4.79986846e-01 -8.70101899e-03  8.25068712e-01  3.75323772e-01
 -3.15484665e-02  8.25410724e-01  2.96304017e-01 -5.09798564e-02
  8.25549066e-01  2.24579364e-01 -6.40007183e-02  8.53529036e-01
  5.08021772e-01 -2.39335336e-02  8.96517515e-01  4.37016338e-01
 -4.13057767e-02  9.19233024e-01  3.84538591e-01 -5.27331494e-02
  9.37811017e-01  3.29549938e-01 -6.18653893e-02]",ghe ghalun
"[ 7.64814973e-01  7.32907116e-01  4.06747098e-08  6.82431698e-01
  6.74270451e-01 -1.43334698e-02  6.35617316e-01  5.72948933e-01
 -2.14385800e-02  6.13342285e-01  4.91701901e-01 -3.07608023e-02
  6.01839662e-01  4.16480571e-01 -3.94365080e-02  7.10389733e-01
  4.62476313e-01  1.86858196e-02  7.06409037e-01  3.60769153e-01
  1.63994711e-02  7.08001435e-01  3.01199824e-01  1.04296282e-02
  7.11325049e-01  2.46447325e-01  1.25155540e-03  7.59025812e-01
  4.63457048e-01  1.00936787e-02  7.47159123e-01  3.93763483e-01
 -1.47760231e-02  7.30762839e-01  4.14953053e-01 -3.11942268e-02
  7.19008088e-01  4.39722329e-01 -3.55439447e-02  8.05760562e-01
  4.75382030e-01 -3.60033009e-03  8.16500962e-01  3.70245218e-01
 -2.33022962e-02  8.17225218e-01  2.98107803e-01 -3.92098613e-02
  8.17658424e-01  2.31570721e-01 -4.96534593e-02  8.51372540e-01
  5.03945768e-01 -1.83887873e-02  8.89280260e-01  4.33559716e-01
 -3.31287049e-02  9.09182072e-01  3.82509142e-01 -4.27260287e-02
  9.25506830e-01  3.28047335e-01 -5.04432991e-02]",ghe ghalun
"[ 7.65612066e-01  7.30546892e-01  1.00963319e-07  6.85261369e-01
  6.73922658e-01 -1.57345999e-02  6.37778282e-01  5.73192596e-01
 -2.29858384e-02  6.14306927e-01  4.90822613e-01 -3.20207626e-02
  6.02743745e-01  4.14802969e-01 -4.02490385e-02  7.11217344e-01
  4.61978614e-01  1.74420755e-02  7.07203269e-01  3.58008623e-01
  1.49513083e-02  7.09223449e-01  2.97873795e-01  9.37994942e-03
  7.13841677e-01  2.43225336e-01  6.58017350e-04  7.59442329e-01
  4.62854505e-01  9.91893746e-03  7.51195967e-01  3.90749425e-01
 -1.31356278e-02  7.35887825e-01  4.07226384e-01 -2.75058299e-02
  7.25460827e-01  4.29606080e-01 -3.07819210e-02  8.05606186e-01
  4.75369126e-01 -3.01453425e-03  8.18940699e-01  3.72613966e-01
 -2.23906748e-02  8.18939924e-01  2.97380269e-01 -3.70325260e-02
  8.18651557e-01  2.29353338e-01 -4.65621836e-02  8.50446701e-01
  5.04321396e-01 -1.71781275e-02  8.89210165e-01  4.33983743e-01
 -3.21059488e-02  9.08918917e-01  3.83220255e-01 -4.10387702e-02
  9.24962878e-01  3.29740942e-01 -4.80878949e-02]",ghe ghalun
"[ 7.61395574e-01  7.36065507e-01  5.74010386e-08  6.82613254e-01
  6.75272822e-01 -1.14918277e-02  6.36483967e-01  5.74519038e-01
 -1.82748977e-02  6.12346411e-01  4.93519604e-01 -2.80548967e-02
  6.00577056e-01  4.19863075e-01 -3.75687070e-02  7.15628624e-01
  4.71350819e-01  1.97129995e-02  7.11730838e-01  3.64602536e-01
  1.59566663e-02  7.13661730e-01  3.03929865e-01  8.04051943e-03
  7.17215180e-01  2.47732490e-01 -2.74237734e-03  7.63562083e-01
  4.71757650e-01  9.12615936e-03  7.56068766e-01  4.01606083e-01
 -1.82057209e-02  7.36742139e-01  4.14664209e-01 -3.77386473e-02
  7.20283985e-01  4.35550123e-01 -4.50071394e-02  8.09098721e-01
  4.82701659e-01 -6.33218233e-03  8.22121859e-01  3.79404128e-01
 -2.80862190e-02  8.21216941e-01  3.01033795e-01 -4.64025699e-02
  8.18939507e-01  2.31998265e-01 -5.88678755e-02  8.52811873e-01
  5.09003222e-01 -2.24959962e-02  8.93143177e-01  4.37133014e-01
 -3.79795209e-02  9.13553596e-01  3.84538114e-01 -4.82833646e-02
  9.29745674e-01  3.31182301e-01 -5.69558516e-02]",ghe ghalun
"[ 7.36319661e-01  7.34686613e-01 -6.95157754e-09  6.72643304e-01
  6.64589226e-01 -7.05616316e-03  6.36254668e-01  5.61766028e-01
 -1.32727157e-02  6.17439032e-01  4.86065596e-01 -2.32981574e-02
  6.11350775e-01  4.21419978e-01 -3.33600864e-02  7.27032542e-01
  4.70996737e-01  1.31259430e-02  7.28526771e-01  3.63273680e-01
  5.08284010e-03  7.30530322e-01  3.03231150e-01 -4.79407003e-03
  7.34628677e-01  2.49736518e-01 -1.59655288e-02  7.69555926e-01
  4.75123554e-01 -5.06584882e-04  7.53548920e-01  3.99890602e-01
 -3.15839723e-02  7.17094421e-01  4.01586533e-01 -5.23152761e-02
  6.89836919e-01  4.13416296e-01 -5.99190034e-02  8.12148631e-01
  4.89957482e-01 -1.78346634e-02  8.32859993e-01  3.83436590e-01
 -4.48986292e-02  8.34008157e-01  3.07126820e-01 -6.35636970e-02
  8.35387766e-01  2.43314683e-01 -7.42852986e-02  8.52904320e-01
  5.21228135e-01 -3.51283103e-02  9.01618481e-01  4.48083550e-01
 -5.55962585e-02  9.26618755e-01  3.93198788e-01 -6.68672919e-02
  9.46504474e-01  3.38863194e-01 -7.43358135e-02]",ghe ghalun
